country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,All,All,mgmt3,17.0361824,1.9864649,517.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt4,51.89173508,4.2075667,522.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt5,46.28835297,3.7502785,525.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt6,36.98845673,4.3320436,521.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt7,35.26675797,3.6078713,518.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt8,48.61697006,4.309844,510.0,Global
Viet Nam2023,VNM,2023.0,All,All,mgmt9,43.6793251,4.4005113,376.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst1,21.19675446,2.6301856,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst10,2.454944611,0.8358112,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst11,3.553559065,1.4342533,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst12,22.11642647,2.6723986,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst13,4.505045414,1.3743647,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst14,9.240164757,1.9589478,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst15,6.195965767,1.9587954,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst2,2.869471312,1.0606955,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst3,4.620622635,1.4353521,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst4,.2627038658,0.14954752,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst5,0,0.0,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst6,2.582272053,0.8611208,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst7,4.505940914,1.0995136,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst8,4.173483372,1.182533,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,obst9,11.72264576,1.972508,822.0,Global
Viet Nam2023,VNM,2023.0,All,All,perf1,5.437979698,1.9069359,991.0,Global
Viet Nam2023,VNM,2023.0,All,All,perf2,3.792225122,1.2344519,1003.0,Global
Viet Nam2023,VNM,2023.0,All,All,perf3,1.617082238,1.9743809,974.0,Global
Viet Nam2023,VNM,2023.0,All,All,perf4,29.51249886,2.4333942,1019.0,Global
Viet Nam2023,VNM,2023.0,All,All,reg1,4.481511593,0.4991176,800.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_reg10,6.342525005,1.3292927,1023.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_reg11,71.03990173,19.081253,66.0,Global
